id	property_name	location	phone	map_link	property_type	furnishing	private_price	single_price	double_price	triple_price	starting_price	listing_type	is_available	created_at	updated_at	description	features	slug	is_deleted	avg_rating	review_count	city	last_verified_at	last_booked_at	last_review_at
121	GVS Coliving	Munnekollal	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	NULL	rent	1	2026-03-21 04:47:24	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	gvs-coliving	0	NULL	0	bangalore	2026-05-16 11:07:38	NULL	NULL
122	Livingnest Falcon Colive	Garvebhavi Palya	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	10000.00	rent	1	2026-03-21 04:49:58	2026-05-22 07:14:21	NULL	[power_backup, wifi, food, housekeeping, security, cctv, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	livingnest-falcon-colive	0	NULL	0	bangalore	2026-05-16 11:07:39	NULL	NULL
123	AA Sparrow nest Colive	Brookefield	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	9000.00	rent	1	2026-03-21 04:54:56	2026-05-22 07:14:21	NULL	[power_backup, wifi, food, housekeeping, cctv, security, fingerprint, tv, geyser, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	aa-sparrow-nest-colive	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
124	Arcade INN Ladies PG	Bellandur	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	9000.00	rent	1	2026-03-21 04:57:53	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk]	arcade-inn-ladies-pg	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
125	Astro Colive	Doddanekundi	9999999999	NULL	PG	semi_furnished	NULL	NULL	NULL	NULL	8000.00	rent	1	2026-03-21 05:01:31	2026-05-22 07:14:21	NULL	[wifi, power_backup, housekeeping, food, cctv, geyser, refrigerator, washing machine, bike parking, lift, common kitchen, terrace, attached bathroom, cupboards, furniture, study table, couple friendly]	astro-colive	0	NULL	0	bangalore	2026-04-22 07:03:17	NULL	NULL
126	AA Epsilon Premium Colive	Bellandur	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	9000.00	rent	1	2026-03-21 05:05:27	2026-05-22 07:14:21	NULL	[power_backup, wifi, food, housekeeping, security, cctv, geyser, tv, refrigerator, washing machine, bike parking, lift, common kitchen, terrace, attached bathroom, cupboards, furniture, study table, couple friendly]	aa-epsilon-premium-colive	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
127	Kio Colive PG	BTM	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	10000.00	rent	1	2026-03-21 05:07:59	2026-05-22 07:14:21	NULL	[power_backup, wifi, food, housekeeping, security, cctv, geyser, tv, refrigerator, washing machine, lift, common kitchen, terrace, attached bathroom, cupboards, furniture, study table, couple friendly]	kio-colive-pg	0	NULL	0	bangalore	2026-05-16 11:07:39	NULL	NULL
128	AA Sparrow Nest Premium Colive	Brookefield	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	9000.00	rent	1	2026-03-21 05:14:02	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, furniture, cupboards, attached bathroom, work desk, couple friendly]	aa-sparrow-nest-premium-colive	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
129	Lakshya Coliving	Koramangala	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	NULL	rent	1	2026-03-21 05:17:03	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, study table, couple friendly]	lakshya-coliving	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
130	KN Coliving	Bellandur	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	10000.00	rent	1	2026-03-21 05:18:59	2026-05-22 07:14:21	NULL	[wifi, power_backup, housekeeping, food, cctv, geyser, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	kn-coliving	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
131	JR Luxury Living	Location	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	10000.00	rent	1	2026-03-21 05:21:30	2026-05-22 07:14:21	NULL	[power_backup, wifi, housekeeping, food, security, cctv, refrigerator, washing machine, geyser, bike parking, terrace, lift, common kitchen, cupboards, attached bathroom, furniture, study table, couple friendly, balcony]	jr-luxury-living	0	NULL	0	bangalore	2026-05-16 11:07:39	NULL	NULL
132	AA Premium colive	Mahadevapura	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	9000.00	rent	1	2026-03-21 05:23:45	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, geyser, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, study table, couple friendly, gym]	aa-premium-colive	0	NULL	0	bangalore	2026-04-22 07:03:17	NULL	NULL
133	MIO Colive	BTM Layout	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	10000.00	rent	1	2026-03-21 05:25:52	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, washing machine, refrigerator, geyser, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, study table, couple friendly]	mio-colive	0	NULL	0	bangalore	2026-04-22 07:03:17	NULL	NULL
134	MR & MRS Colive	Mahadevapura	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	9500.00	rent	1	2026-03-21 05:27:16	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, study table, couple friendly]	mr-mrs-colive	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-09 05:28:03
135	Geet Coliving	Munnekollal	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	10000.00	rent	1	2026-03-21 05:29:49	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, geyser, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, study table, couple friendly]	geet-coliving	0	NULL	0	bangalore	2026-05-16 11:07:39	NULL	NULL
136	My Homes	Bellandur	9999999999	NULL	1BHK	fully_furnished	NULL	NULL	NULL	NULL	29000.00	rent	1	2026-03-24 05:30:30	2026-05-22 07:14:21	NULL	[cctv, tv, refrigerator, geyser, bike parking, terrace, common kitchen, cupboards, attached bathroom, work desk, couple friendly]	my-homes	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-09 05:02:02
137	Mass Residency LAV Mansion	BTM	9999999999	NULL	PG	semi_furnished	NULL	NULL	0.00	NULL	12000.00	rent	1	2026-03-24 07:40:27	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, tv, geyser, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, cupboards, attached bathroom, furniture, study table]	mass-residency-lav-mansion	0	NULL	0	bangalore	2026-05-16 11:07:39	NULL	NULL
138	VSR Coliving PG	Electronic City	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	6500.00	rent	1	2026-03-24 09:14:34	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, couple friendly]	vsr-coliving-pg	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
139	Brindavanam Coliving Spaces	Electronic City	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	7000.00	rent	1	2026-03-24 09:19:42	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, study table, couple friendly]	brindavanam-coliving-spaces	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-07 10:03:38
140	Raghavendra Arcadian Live in	Electronic City	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	7000.00	rent	1	2026-03-24 09:22:34	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, study table, couple friendly]	raghavendra-arcadian-live-in	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
141	Skyra Coliving	Sarjapura	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	11500.00	rent	1	2026-03-24 09:25:37	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, study table, couple friendly]	skyra-coliving	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-09 05:26:12
142	SR Premium Coliving	Bellandur	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	12000.00	rent	1	2026-03-24 09:28:36	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, security, cctv, geyser, tv, refrigerator, washing machine, bike parking, lift, terrace, common kitchen, attached bathroom, cupboards, work desk, couple friendly]	sr-premium-coliving	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
143	Cozy Homes	Marathahalli	9999999999	NULL	2BHK	fully_furnished	NULL	NULL	NULL	NULL	34000.00	rent	1	2026-03-26 05:46:47	2026-05-22 07:14:21	NULL	[cctv, tv, refrigerator, washing machine, geyser, parking, terrace, common kitchen, study table, attached bathroom, cupboards, furniture, couple friendly]	cozy-homes	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-17 13:06:49
144	Lakshmana Durga Homes 1BHK	SilkBoard	9999999999	NULL	1BHK	fully_furnished	NULL	NULL	NULL	NULL	30000.00	rent	1	2026-03-26 05:58:03	2026-05-22 07:14:21	NULL	[cctv, refrigerator, tv, washing machine, bike parking, parking, lift, terrace, common kitchen, attached bathroom, cupboards, furniture, study table, couple friendly]	lakshmana-durga-property	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-09 05:27:17
145	Lakshmana Durga Homes 2BHK	SilkBoard	9999999999	NULL	2BHK	fully_furnished	NULL	NULL	NULL	NULL	45000.00	rent	1	2026-03-27 11:03:57	2026-05-22 07:14:21	NULL	[power_backup, cctv, geyser, tv, refrigerator, washing machine, bike parking, parking, terrace, common kitchen, balcony, cupboards, attached bathroom, furniture, work desk, couple friendly]	lakshmana-durga-homes-2bhk	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-09 05:26:52
146	Test Minimal Property	NULL	NULL	NULL	1BHK	unfurnished	NULL	NULL	NULL	NULL	NULL	rent	1	2026-04-03 19:19:14	2026-05-22 07:14:21	NULL	null	test-minimal-property	1	NULL	0	NULL	2026-04-07 10:01:32	NULL	NULL
147	Test Minimal Property with Price	NULL	NULL	NULL	1BHK	unfurnished	NULL	NULL	NULL	NULL	15000.00	rent	1	2026-04-03 19:22:32	2026-05-22 07:14:21	NULL	null	test-minimal-property-with-price	1	NULL	0	NULL	2026-04-07 10:01:33	NULL	NULL
148	Mariyas living coliving pg	Sarjapura	9999999999	NULL	PG	semi_furnished	NULL	NULL	NULL	NULL	9000.00	rent	1	2026-04-06 07:08:51	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, refrigerator, washing machine, geyser, bike parking, lift, terrace, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	mariyas-living-coliving-pg	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
149	Connect coliving prime	Thubarahalli	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	9000.00	rent	1	2026-04-06 07:14:02	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	connect-coliving-prime	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-07 10:04:25
150	URBAN LIVING BHK	Bellandur	9999999999	NULL	1BHK	fully_furnished	NULL	NULL	NULL	NULL	28000.00	rent	1	2026-04-06 07:28:18	2026-05-22 07:14:21	NULL	[cctv, tv, refrigerator, washing machine, bike parking, terrace, common kitchen, lift, attached bathroom, cupboards, furniture, work desk, couple friendly]	urban-living-bhk	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
151	Whitestone BHK	BTM	9999999999	NULL	1BHK	fully_furnished	NULL	NULL	NULL	NULL	25000.00	rent	1	2026-04-06 07:33:58	2026-05-22 07:14:21	NULL	[power_backup, cctv, security, tv, refrigerator, washing machine, geyser, parking, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	whitestone-bhk	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-17 13:08:32
152	Urban Living 1 RK & 1BHK	Kundalahalli	9999999999	NULL	1BHK	fully_furnished	NULL	NULL	NULL	NULL	15999.00	rent	1	2026-04-06 07:44:23	2026-05-22 07:14:21	NULL	[cctv, power_backup, security, refrigerator, tv, washing machine, geyser, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	urban-living-1-rk-1bhk	0	NULL	0	bangalore	2026-04-22 07:03:17	NULL	NULL
153	Orchid House	BTM Layout	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	13099.00	rent	1	2026-04-07 04:56:21	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, in-house cafeteria, cctv, security, fingerprint, geyser, refrigerator, washing machine, laundry, bike parking, lift, attached bathroom, couple friendly]	orchid-house	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-07 09:27:46
154	Nesto Amigos Co-Living PG	BTM	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	7000.00	rent	1	2026-04-07 08:07:10	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, couple friendly]	nesto-amigos-co-living-pg	0	0.00	0	bangalore	2026-05-16 11:07:39	NULL	NULL
155	Akshayam Residency	BTM Layout	9999999999	NULL	1BHK	fully_furnished	NULL	NULL	NULL	NULL	23000.00	rent	1	2026-04-10 12:16:38	2026-05-22 07:14:21	NULL	[power_backup, cctv, security, tv, refrigerator, washing machine, geyser, bike parking, terrace, lift, common kitchen, balcony, cupboards, attached bathroom, furniture, couple friendly, work desk, gym]	akshayam-residency	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-10 12:17:14
156	Silver storm	Tavarekere , BTM Layout	9999999999	NULL	1BHK	fully_furnished	NULL	NULL	NULL	NULL	27000.00	rent	1	2026-04-10 13:25:13	2026-05-22 07:14:21	NULL	[power_backup, cctv, geyser, tv, refrigerator, washing machine, lift, bike parking, terrace, common kitchen, cupboards, attached bathroom, furniture, work desk, couple friendly]	silver-storm	0	0.00	0	bangalore	2026-04-22 07:03:17	NULL	NULL
157	Earth space Lakeview	BTM Layout	9999999999	NULL	1BHK	fully_furnished	NULL	NULL	NULL	NULL	24500.00	rent	1	2026-04-10 13:33:52	2026-05-22 07:14:21	NULL	[power_backup, cctv, tv, refrigerator, wifi, washing machine, bike parking, lift, common kitchen, terrace, attached bathroom, cupboards, furniture, study table, couple friendly]	earth-space-lakeview	0	0.00	0	bangalore	2026-04-22 07:03:17	NULL	NULL
158	Ekta 1RK Studio Room	Kadubeesanahalli	9999999999	NULL	1RK	fully_furnished	NULL	NULL	NULL	NULL	21000.00	rent	1	2026-04-11 07:05:12	2026-05-22 07:14:21	NULL	[wifi, power_backup, cctv, geyser, refrigerator, tv, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly, balcony]	ekta-1rk-studio-room	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-17 13:10:38
159	Infinity Premium Homes	kadubeesanahalli	9999999999	NULL	1BHK	fully_furnished	NULL	NULL	NULL	NULL	26000.00	rent	1	2026-04-11 10:41:23	2026-05-22 07:14:21	NULL	[power_backup, cctv, security, fingerprint, geyser, tv, refrigerator, washing machine, parking, gym, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	infinity-premium-homes	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-17 13:11:28
160	5 STAR INN CO-LIVING	Whitefield	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	7000.00	rent	1	2026-04-14 07:04:53	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, geyser, ac, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, balcony, attached bathroom, cupboards, furniture, work desk, couple friendly, gym]	5-star-inn-co-living	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-17 12:26:11
161	Sri Latha PG For Co-live	Electronic City phase -1	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	6000.00	rent	1	2026-04-14 07:12:28	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	sri-latha-pg-for-co-live	0	0.00	0	bangalore	2026-04-18 10:23:52	NULL	NULL
162	Krishna Habitat	BTM Layout	9999999999	NULL	1RK	fully_furnished	NULL	NULL	NULL	NULL	17000.00	rent	1	2026-04-14 07:22:21	2026-05-22 07:14:21	NULL	[geyser, tv, refrigerator, washing machine, bike parking, power_backup, fingerprint, cctv, lift, common kitchen, terrace, balcony, cupboards, attached bathroom, furniture, work desk, couple friendly]	krishna-habitat	0	0.00	0	bangalore	2026-04-22 07:03:17	NULL	NULL
163	Signature Residency - 18	BTM Layout	9999999999	NULL	1BHK	fully_furnished	NULL	NULL	NULL	NULL	25000.00	rent	1	2026-04-14 07:29:26	2026-05-22 07:14:21	NULL	[cctv, geyser, tv, refrigerator, washing machine, fingerprint, bike parking, terrace, lift, common kitchen, furniture, cupboards, attached bathroom, work desk, couple friendly]	signature-residency-18	0	0.00	0	bangalore	2026-04-22 07:03:17	NULL	NULL
164	KNR coliving	Madiwala	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	8000.00	rent	1	2026-04-14 07:38:46	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, cctv, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	knr-coliving	0	0.00	0	bangalore	2026-05-16 11:07:39	NULL	NULL
165	PRO4 Elegant	Whitefeild	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	14000.00	rent	1	2026-04-14 09:50:53	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, cctv, fingerprint, geyser, tv, washing machine, refrigerator, bike parking, parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	pro4-elegant	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-17 12:21:30
166	PRO4 Retreat	Whitefeild	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	12000.00	rent	1	2026-04-14 09:54:11	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, fingerprint, tv, geyser, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	pro4-retreat	0	0.00	0	bangalore	2026-05-16 11:07:39	NULL	NULL
167	Pro4 Laavish	Marathahalli	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	15000.00	rent	1	2026-04-14 09:57:41	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, balcony, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	pro4-laavish	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-17 12:28:57
168	Pro4 Posh	Whitefield	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	14000.00	rent	1	2026-04-14 09:59:53	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	pro4-posh	0	0.00	0	bangalore	2026-04-18 10:23:52	NULL	NULL
169	Pro4 Pavillion	AECS Layout	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	14000.00	rent	1	2026-04-14 10:07:52	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	pro4-pavillion	0	0.00	0	bangalore	2026-05-16 11:07:39	NULL	NULL
170	Pro4 Neeladiri	Marathahalli	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	13000.00	rent	1	2026-04-14 10:16:18	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	pro4-neeladiri	0	0.00	0	bangalore	2026-04-18 10:23:52	NULL	NULL
171	Pro4 Elite A	Marathahalli	9999999999	NULL	1RK	fully_furnished	NULL	NULL	NULL	NULL	14000.00	rent	1	2026-04-14 10:23:04	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, cctv, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly, balcony]	pro4-elite-a	0	0.00	0	bangalore	2026-04-18 10:23:52	NULL	NULL
172	Pro4 Elite B	Marathahalli	9999999999	NULL	1RK	fully_furnished	NULL	NULL	NULL	NULL	14000.00	rent	1	2026-04-14 10:45:17	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, cctv, security, fingerprint, geyser, tv, washing machine, refrigerator, bike parking, terrace, lift, common kitchen, cupboards, furniture, attached bathroom, work desk, couple friendly]	pro4-elite-b	0	0.00	0	bangalore	2026-04-18 10:23:52	NULL	NULL
173	Pro4 Elite C	Marathahalli	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	13000.00	rent	1	2026-04-14 10:48:36	2026-05-22 07:14:21	NULL	[wifi, food, power_backup, housekeeping, fingerprint, cctv, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	pro4-elite-c	0	0.00	0	bangalore	2026-04-18 10:23:52	NULL	NULL
174	Pro4 Nova	Marathahalli	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	14000.00	rent	1	2026-04-14 11:27:37	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, fingerprint, tv, geyser, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	pro4-nova	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-17 12:25:30
175	Pro4 Meadows	Munnekollal	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	13000.00	rent	1	2026-04-14 11:35:17	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	pro4-meadows	0	0.00	0	bangalore	2026-05-16 11:07:39	NULL	NULL
176	Pro4 Meridian	Marathahalli	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	15000.00	rent	1	2026-04-14 11:39:33	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	pro4-meridian	0	0.00	0	bangalore	2026-04-18 10:23:52	NULL	NULL
177	Pro4 Regal	Munnekollal	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	13000.00	rent	1	2026-04-14 11:41:53	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, fingerprint, tv, geyser, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	pro4-regal	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-17 12:23:39
178	Pro4 Aroona	Marathahalli	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	15000.00	rent	1	2026-04-14 11:44:04	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, fingerprint, tv, geyser, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	pro4-aroona	0	0.00	0	bangalore	2026-04-18 10:23:52	NULL	NULL
179	Pro4 Socio	AECS Layout	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	13000.00	rent	1	2026-04-14 11:46:18	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, cupboards, attached bathroom, furniture, work desk, couple friendly]	pro4-socio	0	0.00	0	bangalore	2026-05-16 11:07:39	NULL	NULL
180	Pro4 Ville	Marathahalli	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	12000.00	rent	1	2026-04-14 11:48:36	2026-05-22 07:14:21	NULL	[power_backup, wifi, food, housekeeping, cctv, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	pro4-ville	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-17 12:20:59
181	Lalitha Homes studio apartment	Doddanekkundi	9999999999	NULL	1BHK	fully_furnished	NULL	NULL	NULL	NULL	21000.00	rent	1	2026-04-15 11:30:44	2026-05-22 07:14:21	NULL	[power_backup, cctv, geyser, tv, refrigerator, washing machine, bike parking, balcony, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	lalitha-homes-studio-apartment	0	0.00	0	bangalore	2026-05-16 11:07:39	NULL	NULL
182	Vaaradhi  coliving pg	Whitefield	9999999999	NULL	PG	fully_furnished	NULL	NULL	0.00	NULL	7000.00	rent	1	2026-04-15 11:38:05	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, cctv, housekeeping, geyser, tv, refrigerator, washing machine, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	vaaradhi-coliving-pg	0	0.00	0	bangalore	2026-04-18 10:23:52	NULL	NULL
